,,,prediction,confidence,,goundtruth
D:/UrbanSound8K_All4Eval/100852-0-0-4.wav,0.015069485,4,air_conditioner,0.646801651,0.38%,0
D:/UrbanSound8K_All4Eval/100852-0-0-5.wav,0.019491911,4,air_conditioner,0.576807797,0.49%,0
D:/UrbanSound8K_All4Eval/100852-0-0-6.wav,0.015030384,4,air_conditioner,0.635300934,0.38%,0
D:/UrbanSound8K_All4Eval/100852-0-0-7.wav,0.021710634,4,children_playing,0.33967483,0.54%,0
D:/UrbanSound8K_All4Eval/100852-0-0-8.wav,0.020110607,4,air_conditioner,0.349380285,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-9.wav,0.02017045,4,air_conditioner,0.656082988,0.50%,0
D:/UrbanSound8K_All4Eval/101281-3-0-0.wav,0.018227339,4,children_playing,0.328672081,0.46%,3
D:/UrbanSound8K_All4Eval/101281-3-0-14.wav,0.015086651,4,street_music,0.443602026,0.38%,3
D:/UrbanSound8K_All4Eval/101281-3-0-5.wav,0.019774199,4,children_playing,0.568231702,0.49%,3
D:/UrbanSound8K_All4Eval/101382-2-0-10.wav,0.020486355,4,children_playing,0.526108861,0.51%,2
D:/UrbanSound8K_All4Eval/101382-2-0-12.wav,0.015021086,4,siren,0.383683026,0.38%,2
D:/UrbanSound8K_All4Eval/101382-2-0-20.wav,0.021985531,4,children_playing,0.608562529,0.55%,2
D:/UrbanSound8K_All4Eval/101382-2-0-21.wav,0.019679308,4,children_playing,0.78898257,0.49%,2
D:/UrbanSound8K_All4Eval/101382-2-0-29.wav,0.019783258,4,children_playing,0.774513245,0.49%,2
D:/UrbanSound8K_All4Eval/101382-2-0-33.wav,0.0200665,4,children_playing,0.579927623,0.50%,2
D:/UrbanSound8K_All4Eval/101382-2-0-42.wav,0.020959139,4,children_playing,0.770937383,0.52%,2
D:/UrbanSound8K_All4Eval/101382-2-0-45.wav,0.01979351,4,children_playing,0.627239883,0.49%,2
D:/UrbanSound8K_All4Eval/101415-3-0-2.wav,0.009519339,4,dog_bark,0.920113146,0.24%,3
D:/UrbanSound8K_All4Eval/101415-3-0-3.wav,0.020136118,4,dog_bark,0.757104158,0.50%,3
D:/UrbanSound8K_All4Eval/101415-3-0-8.wav,0.020131826,4,dog_bark,0.945057571,0.50%,3
D:/UrbanSound8K_All4Eval/101729-0-0-1.wav,0.020130396,4,jackhammer,0.394698381,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-11.wav,0.020166159,4,jackhammer,0.313248396,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-12.wav,0.015096426,4,air_conditioner,0.389255434,0.38%,0
D:/UrbanSound8K_All4Eval/101729-0-0-13.wav,0.010032892,4,air_conditioner,0.656729639,0.25%,0
D:/UrbanSound8K_All4Eval/101729-0-0-14.wav,0.020121813,4,air_conditioner,0.49394989,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-16.wav,0.017530203,4,air_conditioner,0.431545883,0.44%,0
D:/UrbanSound8K_All4Eval/101729-0-0-17.wav,0.014719725,4,air_conditioner,0.866720498,0.37%,0
D:/UrbanSound8K_All4Eval/101729-0-0-18.wav,0.019874573,4,air_conditioner,0.691702068,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-19.wav,0.010146379,4,air_conditioner,0.787046194,0.25%,0
D:/UrbanSound8K_All4Eval/101729-0-0-21.wav,0.01506424,4,air_conditioner,0.678829074,0.38%,0
D:/UrbanSound8K_All4Eval/101729-0-0-22.wav,0.017532587,4,air_conditioner,0.780604541,0.44%,0
D:/UrbanSound8K_All4Eval/101729-0-0-23.wav,0.020178795,4,air_conditioner,0.809879661,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-24.wav,0.020023346,4,air_conditioner,0.570316553,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-26.wav,0.015077591,4,air_conditioner,0.536135674,0.38%,0
D:/UrbanSound8K_All4Eval/101729-0-0-28.wav,0.019202471,4,air_conditioner,0.566274881,0.48%,0
D:/UrbanSound8K_All4Eval/101729-0-0-29.wav,0.012260675,4,air_conditioner,0.615712225,0.31%,0
D:/UrbanSound8K_All4Eval/101729-0-0-3.wav,0.02011776,4,air_conditioner,0.48745805,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-32.wav,0.020076513,4,air_conditioner,0.652678311,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-33.wav,0.019916534,4,air_conditioner,0.502611458,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-36.wav,0.010549068,4,air_conditioner,0.868222237,0.26%,0
D:/UrbanSound8K_All4Eval/101729-0-0-37.wav,0.017201424,4,air_conditioner,0.825119555,0.43%,0
D:/UrbanSound8K_All4Eval/101729-0-0-38.wav,0.020027637,4,air_conditioner,0.877099514,0.50%,0
D:/UrbanSound8K_All4Eval/101729-0-0-39.wav,0.019594431,4,air_conditioner,0.815847039,0.49%,0
D:/UrbanSound8K_All4Eval/101729-0-0-4.wav,0.017552137,4,air_conditioner,0.916996002,0.44%,0
D:/UrbanSound8K_All4Eval/101729-0-0-40.wav,0.01505661,4,air_conditioner,0.865711391,0.38%,0
D:/UrbanSound8K_All4Eval/101729-0-0-6.wav,0.022749424,4,air_conditioner,0.7154302,0.57%,0
D:/UrbanSound8K_All4Eval/101729-0-0-9.wav,0.010231495,4,air_conditioner,0.690745294,0.26%,0
D:/UrbanSound8K_All4Eval/101848-9-0-0.wav,0.010251999,4,street_music,0.914008558,0.26%,9
D:/UrbanSound8K_All4Eval/101848-9-0-1.wav,0.015030146,4,street_music,0.680470228,0.38%,9
D:/UrbanSound8K_All4Eval/101848-9-0-2.wav,0.005032063,4,street_music,0.541520655,0.13%,9
D:/UrbanSound8K_All4Eval/101848-9-0-3.wav,0.015349388,4,street_music,0.808956504,0.38%,9
D:/UrbanSound8K_All4Eval/101848-9-0-8.wav,0.017068386,4,street_music,0.642359138,0.43%,9
D:/UrbanSound8K_All4Eval/101848-9-0-9.wav,0.020087481,4,street_music,0.753454089,0.50%,9
D:/UrbanSound8K_All4Eval/102102-3-0-0.wav,0.010196209,3.099886621,dog_bark,0.613065064,0.33%,3
D:/UrbanSound8K_All4Eval/102105-3-0-0.wav,0.015063047,4,dog_bark,0.712740839,0.38%,3
D:/UrbanSound8K_All4Eval/102305-6-0-0.wav,0.010039091,2.61,gun_shot,0.21845378,0.38%,6
D:/UrbanSound8K_All4Eval/102547-3-0-2.wav,0.007012844,4,dog_bark,0.604432225,0.18%,3
D:/UrbanSound8K_All4Eval/102547-3-0-7.wav,0.024688482,4,dog_bark,0.518822014,0.62%,3
D:/UrbanSound8K_All4Eval/102547-3-0-8.wav,0.010018826,4,dog_bark,0.806017935,0.25%,3
D:/UrbanSound8K_All4Eval/102842-3-0-1.wav,0.017070055,4,dog_bark,0.538632095,0.43%,3
D:/UrbanSound8K_All4Eval/102842-3-1-0.wav,0.015062332,4,street_music,0.362759173,0.38%,3
D:/UrbanSound8K_All4Eval/102842-3-1-5.wav,0.020380735,4,dog_bark,0.58766526,0.51%,3
D:/UrbanSound8K_All4Eval/102842-3-1-6.wav,0.019772768,4,dog_bark,0.685688913,0.49%,3
D:/UrbanSound8K_All4Eval/102853-8-0-0.wav,0.020059824,4,siren,0.676872015,0.50%,8
D:/UrbanSound8K_All4Eval/102853-8-0-1.wav,0.019754887,4,siren,0.77837193,0.49%,8
D:/UrbanSound8K_All4Eval/102853-8-0-2.wav,0.015067101,4,dog_bark,0.639384985,0.38%,8
D:/UrbanSound8K_All4Eval/102853-8-0-3.wav,0.01959753,4,siren,0.792717814,0.49%,8
D:/UrbanSound8K_All4Eval/102853-8-0-4.wav,0.016335249,4,siren,0.901231289,0.41%,8
D:/UrbanSound8K_All4Eval/102853-8-0-5.wav,0.015084028,4,drilling,0.657229543,0.38%,8
D:/UrbanSound8K_All4Eval/102853-8-0-6.wav,0.010055065,4,jackhammer,0.199314892,0.25%,8
D:/UrbanSound8K_All4Eval/102853-8-1-0.wav,0.016377926,4,siren,0.840255618,0.41%,8
D:/UrbanSound8K_All4Eval/102857-5-0-0.wav,0.010204077,4,engine_idling,0.549999535,0.26%,5
D:/UrbanSound8K_All4Eval/102857-5-0-1.wav,0.019953012,4,engine_idling,0.494329363,0.50%,5
D:/UrbanSound8K_All4Eval/102857-5-0-10.wav,0.014956236,4,engine_idling,0.510371208,0.37%,5
D:/UrbanSound8K_All4Eval/102857-5-0-11.wav,0.019662142,4,engine_idling,0.514784694,0.49%,5
D:/UrbanSound8K_All4Eval/102857-5-0-12.wav,0.020418882,4,engine_idling,0.508731127,0.51%,5
D:/UrbanSound8K_All4Eval/102857-5-0-13.wav,0.014529228,4,engine_idling,0.517962098,0.36%,5
D:/UrbanSound8K_All4Eval/102857-5-0-14.wav,0.019830465,4,engine_idling,0.523148656,0.50%,5
D:/UrbanSound8K_All4Eval/102857-5-0-15.wav,0.01457119,4,engine_idling,0.508379281,0.36%,5
D:/UrbanSound8K_All4Eval/102857-5-0-16.wav,0.015054941,4,engine_idling,0.497603148,0.38%,5
D:/UrbanSound8K_All4Eval/102857-5-0-17.wav,0.019243479,4,engine_idling,0.527556539,0.48%,5
D:/UrbanSound8K_All4Eval/102857-5-0-18.wav,0.015022993,4,engine_idling,0.531546414,0.38%,5
D:/UrbanSound8K_All4Eval/102857-5-0-19.wav,0.019529581,4,engine_idling,0.522565007,0.49%,5
D:/UrbanSound8K_All4Eval/102857-5-0-2.wav,0.018566847,4,engine_idling,0.514651656,0.46%,5
D:/UrbanSound8K_All4Eval/102857-5-0-20.wav,0.020350933,4,engine_idling,0.524284661,0.51%,5
D:/UrbanSound8K_All4Eval/102857-5-0-21.wav,0.019723415,4,engine_idling,0.532781184,0.49%,5
D:/UrbanSound8K_All4Eval/102857-5-0-22.wav,0.016555548,4,engine_idling,0.53148526,0.41%,5
D:/UrbanSound8K_All4Eval/102857-5-0-23.wav,0.019638062,4,engine_idling,0.532020211,0.49%,5
D:/UrbanSound8K_All4Eval/102857-5-0-24.wav,0.015057087,4,engine_idling,0.515944183,0.38%,5
D:/UrbanSound8K_All4Eval/102857-5-0-25.wav,0.020162344,4,engine_idling,0.531766474,0.50%,5
D:/UrbanSound8K_All4Eval/102857-5-0-26.wav,0.015058279,4,engine_idling,0.499674648,0.38%,5
D:/UrbanSound8K_All4Eval/102857-5-0-27.wav,0.024772167,4,engine_idling,0.524672031,0.62%,5
D:/UrbanSound8K_All4Eval/102857-5-0-28.wav,0.019938469,4,engine_idling,0.544293106,0.50%,5
D:/UrbanSound8K_All4Eval/102857-5-0-29.wav,0.016531467,4,engine_idling,0.524093807,0.41%,5
D:/UrbanSound8K_All4Eval/102857-5-0-3.wav,0.010174751,4,engine_idling,0.520634592,0.25%,5
D:/UrbanSound8K_All4Eval/102857-5-0-30.wav,0.015036821,4,engine_idling,0.526295364,0.38%,5
D:/UrbanSound8K_All4Eval/102857-5-0-4.wav,0.020085335,4,engine_idling,0.548745096,0.50%,5
D:/UrbanSound8K_All4Eval/102857-5-0-5.wav,0.010009527,4,engine_idling,0.513069332,0.25%,5
D:/UrbanSound8K_All4Eval/102857-5-0-6.wav,0.02022028,4,engine_idling,0.53025049,0.51%,5
D:/UrbanSound8K_All4Eval/102857-5-0-7.wav,0.019971371,4,engine_idling,0.546951592,0.50%,5
D:/UrbanSound8K_All4Eval/102857-5-0-8.wav,0.015067577,4,engine_idling,0.524553657,0.38%,5
D:/UrbanSound8K_All4Eval/102857-5-0-9.wav,0.019863605,4,engine_idling,0.511790872,0.50%,5
D:/UrbanSound8K_All4Eval/102858-5-0-0.wav,0.015577793,4,engine_idling,0.483436286,0.39%,5
D:/UrbanSound8K_All4Eval/102858-5-0-1.wav,0.010015965,4,engine_idling,0.485656112,0.25%,5
D:/UrbanSound8K_All4Eval/102871-8-0-0.wav,0.009890556,4,car_horn,0.307370901,0.25%,8
D:/UrbanSound8K_All4Eval/102871-8-0-1.wav,0.010020494,4,drilling,0.256961375,0.25%,8
D:/UrbanSound8K_All4Eval/102871-8-0-10.wav,0.014627218,4,siren,0.665640771,0.37%,8
D:/UrbanSound8K_All4Eval/102871-8-0-11.wav,0.024650574,4,siren,0.63453871,0.62%,8
D:/UrbanSound8K_All4Eval/102871-8-0-12.wav,0.019983768,4,siren,0.362635493,0.50%,8
D:/UrbanSound8K_All4Eval/102871-8-0-13.wav,0.015057087,4,siren,0.934616864,0.38%,8
D:/UrbanSound8K_All4Eval/102871-8-0-14.wav,0.015613079,4,siren,0.55549407,0.39%,8
D:/UrbanSound8K_All4Eval/102871-8-0-15.wav,0.018978357,4,siren,0.755807519,0.47%,8
D:/UrbanSound8K_All4Eval/102871-8-0-2.wav,0.020833492,4,siren,0.552086234,0.52%,8
D:/UrbanSound8K_All4Eval/102871-8-0-3.wav,0.010087013,4,siren,0.445337653,0.25%,8
D:/UrbanSound8K_All4Eval/102871-8-0-4.wav,0.020078659,4,car_horn,0.32055968,0.50%,8
D:/UrbanSound8K_All4Eval/102871-8-0-5.wav,0.019654512,4,siren,0.362658441,0.49%,8
D:/UrbanSound8K_All4Eval/102871-8-0-6.wav,0.020106554,4,siren,0.42323941,0.50%,8
D:/UrbanSound8K_All4Eval/102871-8-0-7.wav,0.015221596,4,siren,0.385106832,0.38%,8
D:/UrbanSound8K_All4Eval/102871-8-0-8.wav,0.015059948,4,siren,0.85440892,0.38%,8
D:/UrbanSound8K_All4Eval/102871-8-0-9.wav,0.015078068,4,siren,0.497347444,0.38%,8
D:/UrbanSound8K_All4Eval/103074-7-0-0.wav,0.015057325,4,jackhammer,0.325240731,0.38%,7
D:/UrbanSound8K_All4Eval/103074-7-0-1.wav,0.01991868,4,drilling,0.379083842,0.50%,7
D:/UrbanSound8K_All4Eval/103074-7-0-2.wav,0.01035428,4,drilling,0.378780961,0.26%,7
D:/UrbanSound8K_All4Eval/103074-7-1-0.wav,0.024846792,4,air_conditioner,0.29467088,0.62%,7
D:/UrbanSound8K_All4Eval/103074-7-1-1.wav,0.019603491,4,jackhammer,0.462123662,0.49%,7
D:/UrbanSound8K_All4Eval/103074-7-1-2.wav,0.020105124,4,jackhammer,0.536458194,0.50%,7
D:/UrbanSound8K_All4Eval/103074-7-1-3.wav,0.019820929,4,jackhammer,0.524961889,0.50%,7
D:/UrbanSound8K_All4Eval/103074-7-1-4.wav,0.010061264,4,drilling,0.563646734,0.25%,7
D:/UrbanSound8K_All4Eval/103074-7-1-5.wav,0.020200253,4,jackhammer,0.363159955,0.51%,7
D:/UrbanSound8K_All4Eval/103074-7-1-6.wav,0.02027154,4,jackhammer,0.46423769,0.51%,7
D:/UrbanSound8K_All4Eval/103074-7-3-0.wav,0.019773245,4,jackhammer,0.640445113,0.49%,7
D:/UrbanSound8K_All4Eval/103074-7-3-1.wav,0.020264149,4,jackhammer,0.619534314,0.51%,7
D:/UrbanSound8K_All4Eval/103074-7-3-2.wav,0.023564339,4,air_conditioner,0.32248044,0.59%,7
D:/UrbanSound8K_All4Eval/103074-7-3-3.wav,0.014859438,4,drilling,0.360758156,0.37%,7
D:/UrbanSound8K_All4Eval/103074-7-4-0.wav,0.015062809,4,jackhammer,0.304839909,0.38%,7
D:/UrbanSound8K_All4Eval/103074-7-4-1.wav,0.018553734,4,jackhammer,0.630037129,0.46%,7
D:/UrbanSound8K_All4Eval/103074-7-4-2.wav,0.020092487,4,jackhammer,0.651051641,0.50%,7
D:/UrbanSound8K_All4Eval/103074-7-4-3.wav,0.019824982,4,jackhammer,0.54982841,0.50%,7
D:/UrbanSound8K_All4Eval/103074-7-4-4.wav,0.019794703,4,jackhammer,0.520418644,0.49%,7
D:/UrbanSound8K_All4Eval/103074-7-4-5.wav,0.019792557,4,jackhammer,0.309451371,0.49%,7
D:/UrbanSound8K_All4Eval/103074-7-4-6.wav,0.01005125,4,air_conditioner,0.411192149,0.25%,7
D:/UrbanSound8K_All4Eval/103076-3-0-0.wav,0.019927979,2.5271875,dog_bark,0.433993131,0.79%,3
D:/UrbanSound8K_All4Eval/103199-4-0-0.wav,0.010050774,4,drilling,0.853520632,0.25%,4
D:/UrbanSound8K_All4Eval/103199-4-0-3.wav,0.024289131,4,children_playing,0.352256417,0.61%,4
D:/UrbanSound8K_All4Eval/103199-4-0-4.wav,0.02022934,4,drilling,0.763464868,0.51%,4
D:/UrbanSound8K_All4Eval/103199-4-0-5.wav,0.019925356,4,drilling,0.643163145,0.50%,4
D:/UrbanSound8K_All4Eval/103199-4-0-6.wav,0.019865274,4,drilling,0.570824683,0.50%,4
D:/UrbanSound8K_All4Eval/103199-4-2-0.wav,0.010189056,4,drilling,0.861459792,0.25%,4
D:/UrbanSound8K_All4Eval/103199-4-2-1.wav,0.015977383,4,drilling,0.757899582,0.40%,4
D:/UrbanSound8K_All4Eval/103199-4-2-10.wav,0.019879341,4,drilling,0.889041185,0.50%,4
D:/UrbanSound8K_All4Eval/103199-4-2-11.wav,0.010020256,4,drilling,0.836952925,0.25%,4
D:/UrbanSound8K_All4Eval/103199-4-2-2.wav,0.019814491,4,drilling,0.696453929,0.50%,4
D:/UrbanSound8K_All4Eval/103199-4-2-3.wav,0.015024662,4,children_playing,0.346462429,0.38%,4
D:/UrbanSound8K_All4Eval/103199-4-2-4.wav,0.01975894,4,children_playing,0.505502641,0.49%,4
D:/UrbanSound8K_All4Eval/103199-4-2-5.wav,0.015354633,4,drilling,0.694892764,0.38%,4
D:/UrbanSound8K_All4Eval/103199-4-2-6.wav,0.020358562,4,drilling,0.425974935,0.51%,4
D:/UrbanSound8K_All4Eval/103199-4-2-7.wav,0.010017633,4,children_playing,0.343233138,0.25%,4
D:/UrbanSound8K_All4Eval/103199-4-2-8.wav,0.019902229,4,drilling,0.838001013,0.50%,4
D:/UrbanSound8K_All4Eval/103199-4-2-9.wav,0.020072699,4,drilling,0.928517401,0.50%,4
D:/UrbanSound8K_All4Eval/103199-4-4-0.wav,0.015561342,2.53,drilling,0.74071914,0.62%,4
D:/UrbanSound8K_All4Eval/103199-4-7-2.wav,0.020177841,4,drilling,0.806874812,0.50%,4
D:/UrbanSound8K_All4Eval/103249-5-0-0.wav,0.02035284,4,engine_idling,0.910556912,0.51%,5
D:/UrbanSound8K_All4Eval/103249-5-0-1.wav,0.019667625,4,engine_idling,0.923413098,0.49%,5
D:/UrbanSound8K_All4Eval/103249-5-0-10.wav,0.015031815,4,engine_idling,0.908501029,0.38%,5
D:/UrbanSound8K_All4Eval/103249-5-0-11.wav,0.020192385,4,engine_idling,0.886538744,0.50%,5
D:/UrbanSound8K_All4Eval/103249-5-0-12.wav,0.020293236,4,engine_idling,0.896811306,0.51%,5
D:/UrbanSound8K_All4Eval/103249-5-0-13.wav,0.020223141,4,engine_idling,0.905565679,0.51%,5
D:/UrbanSound8K_All4Eval/103249-5-0-14.wav,0.015373945,4,engine_idling,0.909762323,0.38%,5
D:/UrbanSound8K_All4Eval/103249-5-0-15.wav,0.024753332,4,engine_idling,0.807741821,0.62%,5
D:/UrbanSound8K_All4Eval/103249-5-0-16.wav,0.013986111,4,engine_idling,0.848275959,0.35%,5
D:/UrbanSound8K_All4Eval/103249-5-0-17.wav,0.015263081,4,engine_idling,0.899844766,0.38%,5
D:/UrbanSound8K_All4Eval/103249-5-0-18.wav,0.019883394,4,engine_idling,0.90819329,0.50%,5
D:/UrbanSound8K_All4Eval/103249-5-0-19.wav,0.025222063,4,engine_idling,0.904140592,0.63%,5
D:/UrbanSound8K_All4Eval/103249-5-0-2.wav,0.019181252,4,engine_idling,0.913338304,0.48%,5
D:/UrbanSound8K_All4Eval/103249-5-0-3.wav,0.014821291,4,engine_idling,0.903238297,0.37%,5
D:/UrbanSound8K_All4Eval/103249-5-0-4.wav,0.01981473,4,engine_idling,0.896748781,0.50%,5
D:/UrbanSound8K_All4Eval/103249-5-0-5.wav,0.015021086,4,engine_idling,0.90425539,0.38%,5
D:/UrbanSound8K_All4Eval/103249-5-0-6.wav,0.014730692,4,engine_idling,0.923419952,0.37%,5
D:/UrbanSound8K_All4Eval/103249-5-0-7.wav,0.020028591,4,engine_idling,0.922096491,0.50%,5
D:/UrbanSound8K_All4Eval/103249-5-0-8.wav,0.015191793,4,engine_idling,0.92225498,0.38%,5
D:/UrbanSound8K_All4Eval/103249-5-0-9.wav,0.010064602,4,engine_idling,0.909536779,0.25%,5
D:/UrbanSound8K_All4Eval/103258-5-0-0.wav,0.024977207,4,engine_idling,0.620223284,0.62%,5
D:/UrbanSound8K_All4Eval/103258-5-0-1.wav,0.015184879,4,engine_idling,0.85506469,0.38%,5
D:/UrbanSound8K_All4Eval/103258-5-0-10.wav,0.01981473,4,engine_idling,0.903871536,0.50%,5
D:/UrbanSound8K_All4Eval/103258-5-0-11.wav,0.019878626,4,engine_idling,0.896962643,0.50%,5
D:/UrbanSound8K_All4Eval/103258-5-0-12.wav,0.020326138,4,engine_idling,0.924390793,0.51%,5
D:/UrbanSound8K_All4Eval/103258-5-0-13.wav,0.020051956,4,engine_idling,0.942738116,0.50%,5
D:/UrbanSound8K_All4Eval/103258-5-0-14.wav,0.016864538,4,engine_idling,0.867186606,0.42%,5
D:/UrbanSound8K_All4Eval/103258-5-0-15.wav,0.019592762,4,engine_idling,0.364673615,0.49%,5
D:/UrbanSound8K_All4Eval/103258-5-0-16.wav,0.02039361,4,air_conditioner,0.397038072,0.51%,5
D:/UrbanSound8K_All4Eval/103258-5-0-17.wav,0.013026237,4,engine_idling,0.671573877,0.33%,5
D:/UrbanSound8K_All4Eval/103258-5-0-18.wav,0.019988537,4,engine_idling,0.493488282,0.50%,5
D:/UrbanSound8K_All4Eval/103258-5-0-19.wav,0.010018587,4,engine_idling,0.353727818,0.25%,5
D:/UrbanSound8K_All4Eval/103258-5-0-2.wav,0.019661665,4,engine_idling,0.936822772,0.49%,5
D:/UrbanSound8K_All4Eval/103258-5-0-3.wav,0.019821167,4,engine_idling,0.854869545,0.50%,5
D:/UrbanSound8K_All4Eval/103258-5-0-4.wav,0.019597292,4,engine_idling,0.868201137,0.49%,5
D:/UrbanSound8K_All4Eval/103258-5-0-5.wav,0.024674177,4,engine_idling,0.899459958,0.62%,5
D:/UrbanSound8K_All4Eval/103258-5-0-6.wav,0.010049343,4,engine_idling,0.679595947,0.25%,5
D:/UrbanSound8K_All4Eval/103258-5-0-7.wav,0.012706518,4,air_conditioner,0.340574771,0.32%,5
D:/UrbanSound8K_All4Eval/103258-5-0-8.wav,0.019968987,4,engine_idling,0.339681447,0.50%,5
D:/UrbanSound8K_All4Eval/103258-5-0-9.wav,0.017579556,4,engine_idling,0.888748944,0.44%,5
D:/UrbanSound8K_All4Eval/103357-4-0-0.wav,0.020006418,4,drilling,0.979052484,0.50%,4
D:/UrbanSound8K_All4Eval/103357-4-0-1.wav,0.015069962,4,drilling,0.987637758,0.38%,4
D:/UrbanSound8K_All4Eval/103438-5-0-0.wav,0.009538174,4,air_conditioner,0.365526021,0.24%,5
